sid,survey_idno,variable,#_variable,var_dcml,loc_width,labl,var_security,var_universe_clusion,var_qstn_qstnlit,var_universe,var_sumstat_0,var_sumstat_type_0,var_sumstat_1,var_sumstat_type_1,var_format_type,var_val_range_min,var_val_range_max
523,DANE-DIMPE-EAM-2016,c3r13c1,V4462,0,7,Muestras gratis - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Muestras gratis - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,1289338
523,DANE-DIMPE-EAM-2016,c3r13c2,V4463,0,8,Muestras gratis - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Muestras gratis - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,16431017
523,DANE-DIMPE-EAM-2016,c3r13c3,V4464,0,8,Total Muestras gratis,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Muestras gratis,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,16431017
523,DANE-DIMPE-EAM-2016,c3r14c1,V4457,0,8,Costos y gastos de productos y servicios industriales elaborados por terceros - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Costos y gastos de productos y servicios industriales elaborados por terceros - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,99130059
523,DANE-DIMPE-EAM-2016,c3r14c3,V4458,0,8,Total Costos y gastos de productos y servicios industriales elaborados por terceros,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Costos y gastos de productos y servicios industriales elaborados por terceros,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,99130059
523,DANE-DIMPE-EAM-2016,c3r15c1,V4467,0,8,Honorarios y servicios técnicos - producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Honorarios y servicios técnicos - producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,28856553
523,DANE-DIMPE-EAM-2016,c3r15c2,V4468,0,8,Honorarios y servicios técnicos - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Honorarios y servicios técnicos - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,62362991
523,DANE-DIMPE-EAM-2016,c3r15c3,V4469,0,8,Total Honorarios y servicios técnicos,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Honorarios y servicios técnicos,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,62375267
523,DANE-DIMPE-EAM-2016,c3r16c1,V4470,0,8,Arrendamiento de bienes inmuebles - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Arrendamiento de bienes inmuebles - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,11549300
523,DANE-DIMPE-EAM-2016,c3r16c2,V4471,0,8,Arrendamiento de bienes inmuebles - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Arrendamiento de bienes inmuebles - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,24199696
523,DANE-DIMPE-EAM-2016,c3r16c3,V4472,0,8,Total  Arrendamiento de bienes inmuebles,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total  Arrendamiento de bienes inmuebles,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,28106157
523,DANE-DIMPE-EAM-2016,c3r17c1,V4473,0,7,Arrendamiento sin opción  de compra de maquinaria y equipo - producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Arrendamiento sin opción  de compra de maquinaria y equipo - producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,4581358
523,DANE-DIMPE-EAM-2016,c3r17c2,V4474,0,8,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,18526405
523,DANE-DIMPE-EAM-2016,c3r17c3,V4475,0,8,Total Arrendamiento sin opción  de compra de maquinaria y equipo,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Arrendamiento sin opción  de compra de maquinaria y equipo,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,18528843
523,DANE-DIMPE-EAM-2016,c3r18c1,V4476,0,8,Seguros - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Seguros - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,12507003
523,DANE-DIMPE-EAM-2016,c3r18c2,V4477,0,9,Seguros - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Seguros - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,207388619
523,DANE-DIMPE-EAM-2016,c3r18c3,V4478,0,9,Total Seguros,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Seguros,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,207388619
523,DANE-DIMPE-EAM-2016,c3r19c3,V4520,0,9,Valor Energía comprada,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Valor Energía comprada,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,101205137
523,DANE-DIMPE-EAM-2016,c3r1c1,V4410,0,7,Salario Integral para el personal permanente -  Producción - Obreros,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Salario Integral para el personal permanente -  Producción - Obreros,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,1701840
523,DANE-DIMPE-EAM-2016,c3r1c2,V4411,0,8,Salario Integral para el personal permanente -  Administrativos,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Salario Integral para el personal permanente -  Administrativos,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,20334547
523,DANE-DIMPE-EAM-2016,c3r1c3,V4412,0,8,Total Salario Integral para el personal permanente,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Salario Integral para el personal permanente,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,20837493
523,DANE-DIMPE-EAM-2016,c3r1pt,V4409,0,8,Salario Integral para el personal permanente -  Producción - Profesional Tecnólogo o Técnico-,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Salario Integral para el personal permanente -  Producción - Profesional Tecnólogo o Técnico-,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,10158222
523,DANE-DIMPE-EAM-2016,C3R20C1,V4490,0,7,Impuesto de Renta para la Equidad - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Impuesto de Renta para la Equidad - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,1606151
523,DANE-DIMPE-EAM-2016,C3R20C2,V4491,0,8,Impuesto de Renta para la Equidad - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Impuesto de Renta para la Equidad - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,21293778
523,DANE-DIMPE-EAM-2016,C3R20C3,V4492,0,8,Total Impuesto de Renta para la Equidad,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Impuesto de Renta para la Equidad,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,21293778
523,DANE-DIMPE-EAM-2016,c3r21c1,V4479,0,7,Servicio de agua  - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Servicio de agua  - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,4428032
523,DANE-DIMPE-EAM-2016,c3r21c2,V4480,0,7,Servicio de agua - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Servicio de agua - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,3307084
523,DANE-DIMPE-EAM-2016,c3r21c3,V4481,0,7,Total Servicio de agua,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Servicio de agua,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,5128046
523,DANE-DIMPE-EAM-2016,c3r22c1,V4485,0,7,Propaganda y publicidad - producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Propaganda y publicidad - producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,3388655
523,DANE-DIMPE-EAM-2016,c3r22c2,V4486,0,9,Propaganda y publicidad - Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Propaganda y publicidad - Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,213757164
523,DANE-DIMPE-EAM-2016,c3r22c3,V4487,0,9,Total Propaganda y publicidad,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Propaganda y publicidad,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,213757164
523,DANE-DIMPE-EAM-2016,c3r23c1,V4493,0,8,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,83302453
523,DANE-DIMPE-EAM-2016,c3r23c2,V4494,0,8,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración y ventas",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración y ventas",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,60365754
523,DANE-DIMPE-EAM-2016,c3r23c3,V4495,0,8,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,83317618
523,DANE-DIMPE-EAM-2016,c3r24c1,V4499,0,7,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - producción",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - producción",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,3243313
523,DANE-DIMPE-EAM-2016,c3r24c2,V4500,0,8,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - Administración y ventas",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - Administración y ventas",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,52016381
523,DANE-DIMPE-EAM-2016,c3r24c3,V4501,0,8,"Total Utilización de : derechos de autor, franquicias, marcas, patentes, etc..",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Total Utilización de : derechos de autor, franquicias, marcas, patentes, etc..",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,52016381
523,DANE-DIMPE-EAM-2016,c3r25c2,V4488,0,9,Impuesto del 4 x 1 000,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Impuesto del 4 x 1 000,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,117607369
523,DANE-DIMPE-EAM-2016,c3r25c3,V4489,0,9,Total Impuesto del 4 x 1 000,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Impuesto del 4 x 1 000,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,117607369
523,DANE-DIMPE-EAM-2016,c3r26c2,V4507,0,11,"Gastos para provisión de cartera, inventarios y otros - Administración y ventas",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Gastos para provisión de cartera, inventarios y otros - Administración y ventas",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,284629951
523,DANE-DIMPE-EAM-2016,c3r26c3,V4508,0,11,"Total Gastos para provisión de cartera, inventarios y otros",El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,"Total Gastos para provisión de cartera, inventarios y otros",Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,284629951
523,DANE-DIMPE-EAM-2016,c3r27c1,V4511,0,9,Otros costos y gastos no incluidos antes - Producción,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Otros costos y gastos no incluidos antes - Producción,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,561894197
523,DANE-DIMPE-EAM-2016,c3r27c2,V4512,0,9,Otros costos y gastos no incluidos antes -  Administración y ventas,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Otros costos y gastos no incluidos antes -  Administración y ventas,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,737825548
523,DANE-DIMPE-EAM-2016,c3r27c3,V4513,0,10,Total Otros costos y gastos no incluidos antes,El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008,Total Otros costos y gastos no incluidos antes,Está conformado por establecimientos industriales residentes en territorio nacional con 10 o más personas ocupadas y/o un valor de producción dado para el año de referencia.,I,0,vald,0,invd,numeric,0,1089319993
